"filename", "language", "Python", "Batch", "Markdown", "TypeScript", "JSON with Comments", "JavaScript", "Ini", "HTML", "JSON", "pip requirements", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\context\ContextBudgetPolicy.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\context\SceneSummary.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\context\buildAiContext.test.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\context\buildAiContext.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\debug\DebugTrace.test.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\debug\DebugTrace.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\debug\createDebugTrace.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\debug\stateDiff.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\dice\DiceEvent.test.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\dice\DiceEvent.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 57
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\dice\DiceEventMapper.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
